,Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract"
0,2501.03,2016,Solano County,mid,not eligible,0.0,0,0.8901098901098901,81,0.0,0,0.10989010989010989,10
1,2501.04,2016,Solano County,high,not eligible,0.0,0,0.8823529411764706,45,0.0,0,0.11764705882352941,6
2,2501.05,2016,Solano County,high,not eligible,0.0,0,0.9212598425196851,117,0.0,0,0.07874015748031496,10
3,2501.06,2016,Solano County,high,not eligible,0.0,0,0.9259259259259259,75,0.0,0,0.07407407407407407,6
4,2502.0,2016,Solano County,mod,eligible,0.8571428571428571,96,0.0,0,0.14285714285714285,16,0.0,0
5,2503.0,2016,Solano County,mod,eligible,0.5565217391304348,64,0.0,0,0.4434782608695652,51,0.0,0
6,2504.0,2016,Solano County,mid,not eligible,0.0,0,0.6454545454545455,71,0.0,0,0.35454545454545455,39
7,2505.01,2016,Solano County,mid,not eligible,0.0,0,0.7878787878787878,52,0.0,0,0.21212121212121213,14
8,2505.02,2016,Solano County,mid,not eligible,0.0,0,0.8125,65,0.0,0,0.1875,15
9,2506.01,2016,Solano County,mid,not eligible,0.0,0,0.6511627906976745,84,0.0,0,0.3488372093023256,45
10,2506.04,2016,Solano County,high,not eligible,0.0,0,0.8596491228070176,98,0.0,0,0.14035087719298245,16
11,2506.05,2016,Solano County,high,not eligible,0.0,0,0.9,63,0.0,0,0.1,7
12,2507.01,2016,Solano County,mod,eligible,0.5,25,0.0,0,0.5,25,0.0,0
13,2508.01,2016,Solano County,mod,eligible,0.735632183908046,64,0.0,0,0.26436781609195403,23,0.0,0
14,2509.0,2016,Solano County,low,eligible,0.875,28,0.0,0,0.125,4,0.0,0
15,2510.0,2016,Solano County,low,eligible,0.9272727272727272,51,0.0,0,0.07272727272727272,4,0.0,0
16,2511.0,2016,Solano County,mod,eligible,0.5370370370370371,29,0.0,0,0.46296296296296297,25,0.0,0
17,2512.0,2016,Solano County,mod,eligible,0.704225352112676,50,0.0,0,0.29577464788732394,21,0.0,0
18,2513.0,2016,Solano County,mid,not eligible,0.0,0,0.9035087719298246,103,0.0,0,0.09649122807017543,11
19,2514.0,2016,Solano County,mid,not eligible,0.0,0,0.8161764705882353,111,0.0,0,0.18382352941176472,25
20,2515.0,2016,Solano County,mod,eligible,0.7029702970297029,71,0.0,0,0.297029702970297,30,0.0,0
21,2516.0,2016,Solano County,mod,eligible,0.8205128205128205,32,0.0,0,0.1794871794871795,7,0.0,0
22,2517.01,2016,Solano County,mod,eligible,0.8142857142857143,57,0.0,0,0.18571428571428572,13,0.0,0
23,2517.02,2016,Solano County,mid,not eligible,0.0,0,0.5697674418604651,49,0.0,0,0.43023255813953487,37
24,2518.02,2016,Solano County,mod,eligible,0.525,21,0.0,0,0.475,19,0.0,0
25,2518.03,2016,Solano County,mid,not eligible,0.0,0,0.6440677966101694,76,0.0,0,0.3559322033898305,42
26,2518.04,2016,Solano County,mid,not eligible,0.0,0,0.8043478260869565,37,0.0,0,0.1956521739130435,9
27,2519.01,2016,Solano County,mid,not eligible,0.0,0,0.6530612244897959,64,0.0,0,0.3469387755102041,34
28,2519.02,2016,Solano County,mid,not eligible,0.0,0,0.7102803738317757,76,0.0,0,0.2897196261682243,31
29,2519.03,2016,Solano County,mid,not eligible,0.0,0,0.8532110091743119,93,0.0,0,0.14678899082568808,16
30,2520.0,2016,Solano County,mid,not eligible,0.0,0,0.9292929292929293,92,0.0,0,0.0707070707070707,7
31,2521.02,2016,Solano County,mid,not eligible,0.0,0,0.9204545454545454,81,0.0,0,0.07954545454545454,7
32,2521.03,2016,Solano County,mid,not eligible,0.0,0,0.9487179487179487,74,0.0,0,0.05128205128205128,4
33,2521.04,2016,Solano County,high,not eligible,0.0,0,0.9821428571428571,220,0.0,0,0.017857142857142856,4
34,2521.05,2016,Solano County,high,not eligible,0.0,0,0.927710843373494,77,0.0,0,0.07228915662650602,6
35,2521.06,2016,Solano County,mid,not eligible,0.0,0,0.927536231884058,64,0.0,0,0.07246376811594203,5
36,2521.07,2016,Solano County,mid,not eligible,0.0,0,0.9295774647887324,66,0.0,0,0.07042253521126761,5
37,2521.08,2016,Solano County,high,not eligible,0.0,0,0.8928571428571429,75,0.0,0,0.10714285714285714,9
38,2522.01,2016,Solano County,high,not eligible,0.0,0,0.9501915708812261,248,0.0,0,0.04980842911877394,13
39,2522.02,2016,Solano County,high,not eligible,0.0,0,0.941747572815534,388,0.0,0,0.05825242718446602,24
40,2523.05,2016,Solano County,high,not eligible,0.0,0,0.971830985915493,138,0.0,0,0.028169014084507043,4
41,2523.06,2016,Solano County,mid,not eligible,0.0,0,0.954954954954955,106,0.0,0,0.04504504504504504,5
42,2523.1,2016,Solano County,high,not eligible,0.0,0,0.968421052631579,92,0.0,0,0.031578947368421054,3
43,2523.11,2016,Solano County,high,not eligible,0.0,0,0.989247311827957,92,0.0,0,0.010752688172043012,1
44,2523.12,2016,Solano County,mid,not eligible,0.0,0,0.8405797101449275,58,0.0,0,0.15942028985507245,11
45,2523.13,2016,Solano County,mid,not eligible,0.0,0,0.9541284403669725,104,0.0,0,0.045871559633027525,5
46,2523.14,2016,Solano County,mid,not eligible,0.0,0,0.7948717948717948,93,0.0,0,0.20512820512820512,24
47,2523.15,2016,Solano County,high,not eligible,0.0,0,0.8831168831168831,68,0.0,0,0.11688311688311688,9
48,2523.16,2016,Solano County,mid,not eligible,0.0,0,0.864406779661017,51,0.0,0,0.13559322033898305,8
49,2523.17,2016,Solano County,high,not eligible,0.0,0,0.9294354838709677,461,0.0,0,0.07056451612903226,35
50,2524.01,2016,Solano County,mod,eligible,0.552,69,0.0,0,0.448,56,0.0,0
51,2524.02,2016,Solano County,mod,eligible,0.5542168674698795,46,0.0,0,0.4457831325301205,37,0.0,0
52,2525.01,2016,Solano County,mod,eligible,0.5454545454545454,24,0.0,0,0.45454545454545453,20,0.0,0
53,2525.02,2016,Solano County,mod,eligible,0.45454545454545453,5,0.0,0,0.5454545454545454,6,0.0,0
54,2526.04,2016,Solano County,mod,eligible,0.8313253012048193,69,0.0,0,0.1686746987951807,14,0.0,0
55,2526.05,2016,Solano County,mod,eligible,0.7123287671232876,52,0.0,0,0.2876712328767123,21,0.0,0
56,2526.06,2016,Solano County,mod,eligible,0.7047619047619048,74,0.0,0,0.29523809523809524,31,0.0,0
57,2526.07,2016,Solano County,mod,eligible,0.6,30,0.0,0,0.4,20,0.0,0
58,2526.08,2016,Solano County,mod,eligible,0.6296296296296297,51,0.0,0,0.37037037037037035,30,0.0,0
59,2526.1,2016,Solano County,mid,not eligible,0.0,0,0.6,42,0.0,0,0.4,28
60,2526.11,2016,Solano County,mod,eligible,0.5645161290322581,35,0.0,0,0.43548387096774194,27,0.0,0
61,2527.02,2016,Solano County,mid,not eligible,0.0,0,0.8654708520179372,193,0.0,0,0.13452914798206278,30
62,2527.03,2016,Solano County,mid,not eligible,0.0,0,0.7983193277310925,95,0.0,0,0.20168067226890757,24
63,2527.04,2016,Solano County,mid,not eligible,0.0,0,0.78,78,0.0,0,0.22,22
64,2527.05,2016,Solano County,mid,not eligible,0.0,0,0.7292817679558011,132,0.0,0,0.27071823204419887,49
65,2527.06,2016,Solano County,mid,not eligible,0.0,0,0.8362068965517241,97,0.0,0,0.16379310344827586,19
66,2527.07,2016,Solano County,mod,eligible,0.6288659793814433,61,0.0,0,0.3711340206185567,36,0.0,0
67,2529.03,2016,Solano County,high,not eligible,0.0,0,0.9655172413793104,84,0.0,0,0.034482758620689655,3
68,2529.04,2016,Solano County,mid,not eligible,0.0,0,0.9306122448979591,228,0.0,0,0.06938775510204082,17
69,2529.08,2016,Solano County,mid,not eligible,0.0,0,0.8769230769230769,57,0.0,0,0.12307692307692308,8
70,2529.09,2016,Solano County,mid,not eligible,0.0,0,0.908256880733945,99,0.0,0,0.09174311926605505,10
71,2529.1,2016,Solano County,high,not eligible,0.0,0,0.9487179487179487,185,0.0,0,0.05128205128205128,10
72,2529.11,2016,Solano County,mid,not eligible,0.0,0,0.6458333333333334,124,0.0,0,0.3541666666666667,68
73,2529.12,2016,Solano County,high,not eligible,0.0,0,0.9863013698630136,144,0.0,0,0.0136986301369863,2
74,2529.13,2016,Solano County,high,not eligible,0.0,0,0.8985507246376812,124,0.0,0,0.10144927536231885,14
75,2529.14,2016,Solano County,mid,not eligible,0.0,0,0.9487179487179487,222,0.0,0,0.05128205128205128,12
76,2529.15,2016,Solano County,high,not eligible,0.0,0,0.9384615384615385,305,0.0,0,0.06153846153846154,20
77,2530.0,2016,Solano County,not categorized,not eligible,0.0,0,1.0,1,0.0,0,0.0,0
78,2531.01,2016,Solano County,mid,not eligible,0.0,0,0.821656050955414,129,0.0,0,0.17834394904458598,28
79,2531.05,2016,Solano County,mod,eligible,0.7676767676767676,76,0.0,0,0.23232323232323232,23,0.0,0
80,2531.06,2016,Solano County,mid,not eligible,0.0,0,0.8271604938271605,67,0.0,0,0.1728395061728395,14
81,2531.07,2016,Solano County,mid,not eligible,0.0,0,0.7175572519083969,94,0.0,0,0.2824427480916031,37
82,2531.08,2016,Solano County,mod,eligible,0.7737226277372263,106,0.0,0,0.22627737226277372,31,0.0,0
83,2532.01,2016,Solano County,high,not eligible,0.0,0,0.96,120,0.0,0,0.04,5
84,2532.03,2016,Solano County,mod,eligible,0.8151260504201681,97,0.0,0,0.18487394957983194,22,0.0,0
85,2532.04,2016,Solano County,mid,not eligible,0.0,0,0.9076923076923077,118,0.0,0,0.09230769230769231,12
86,2532.05,2016,Solano County,mid,not eligible,0.0,0,0.875,56,0.0,0,0.125,8
87,2532.06,2016,Solano County,high,not eligible,0.0,0,0.9502487562189055,191,0.0,0,0.04975124378109453,10
88,2533.0,2016,Solano County,mid,not eligible,0.0,0,0.9333333333333333,14,0.0,0,0.06666666666666667,1
89,2534.02,2016,Solano County,mid,not eligible,0.0,0,0.8666666666666667,182,0.0,0,0.13333333333333333,28
90,2534.03,2016,Solano County,mid,not eligible,0.0,0,0.8969072164948454,87,0.0,0,0.10309278350515463,10
91,2534.04,2016,Solano County,mid,not eligible,0.0,0,0.8584905660377359,91,0.0,0,0.14150943396226415,15
92,2535.0,2016,Solano County,mid,not eligible,0.0,0,0.7290552584670231,409,0.0,0,0.2709447415329768,152
